iteration,validation_score
1740,1.95580741046324e-05
1741,1.95580741046324e-05
1742,1.95580741046324e-05
1743,1.955806937560461e-05
1744,1.9557650255144444e-05
1745,1.9557650255144448e-05
1746,1.9557650255144444e-05
1747,1.9557218929045353e-05
1748,1.9557218929045353e-05
1749,1.9557218929045356e-05
1750,1.955713609270741e-05
1751,1.9557093446649337e-05
1752,1.955709344664934e-05
1753,1.9557093446649337e-05
1754,1.9557093446649337e-05
1755,1.9557093446649337e-05
1756,1.9557093446649337e-05
1757,1.955709344664934e-05
1758,1.9556882687412956e-05
1759,1.9556882687412953e-05
1760,1.9556882687412953e-05
1761,1.9556882687412953e-05
1762,1.9556882687412956e-05
1763,1.9556882687412953e-05
1764,1.9556882687412956e-05
1765,1.9556882687412956e-05
1766,1.9556882687412956e-05
1767,1.9556882687412956e-05
1768,1.9556882687412956e-05
1769,1.9556882687412953e-05
1770,1.9556882687412953e-05
1771,1.9556882687412956e-05
1772,1.9556882687412956e-05
1773,1.9556882687412956e-05
1774,1.955679182316648e-05
1775,1.955679182316648e-05
1776,1.9556791823166484e-05
1777,1.9556791823166484e-05
1778,1.9556791823166484e-05
1779,1.955679182316648e-05
1780,1.9556744998752912e-05
1781,1.9556744998752912e-05
1782,1.9556744998752912e-05
1783,1.9556744998752912e-05
1784,1.955674499875291e-05
1785,1.955674499875291e-05
1786,1.955674499875291e-05
1787,1.9556744998752912e-05
1788,1.9556744998752905e-05
1789,1.955674499875291e-05
1790,1.9556744998752912e-05
1791,1.9556744998752912e-05
1792,1.9556625271597733e-05
1793,1.955657983907199e-05
1794,1.955657983907199e-05
1795,1.9556579839071987e-05
1796,1.9556520336045536e-05
1797,1.9556520336045536e-05
1798,1.9556520336045532e-05
1799,1.9556520336045536e-05
1800,1.9556520336045536e-05
1801,1.9556520336045532e-05
1802,1.9556520336045536e-05
1803,1.9556520336045536e-05
1804,1.9556520336045536e-05
1805,1.9556520336045536e-05
1806,1.9556423855913584e-05
1807,1.9548399711800344e-05
1808,1.954839971180034e-05
1809,1.954839971180034e-05
1810,1.9548399711800344e-05
1811,1.9548399711800344e-05
1812,1.9548399711800344e-05
1813,1.9548399711800344e-05
1814,1.954839971180034e-05
1815,1.954839971180034e-05
1816,1.9548399711800344e-05
1817,1.9548399711800344e-05
1818,1.954818824632981e-05
1819,1.9548110178731827e-05
1820,1.9548110178731827e-05
1821,1.9548110178731827e-05
1822,1.9548110178731823e-05
1823,1.9548110178731827e-05
1824,1.9548110178731827e-05
1825,1.9548110178731823e-05
1826,1.9548110178731823e-05
1827,1.9548110178731827e-05
1828,1.9548110178731823e-05
1829,1.9548110178731827e-05
1830,1.9548110178731827e-05
1831,1.9547739161941294e-05
1832,1.9547739161941294e-05
1833,1.9547682448904616e-05
1834,1.9547633655575013e-05
1835,1.9547633655575016e-05
1836,1.9547633655575013e-05
1837,1.954749222754334e-05
1838,1.9547492227543347e-05
1839,1.9547492227543347e-05
1840,1.954749222754334e-05
1841,1.954749222754334e-05
1842,1.954749222754334e-05
1843,1.954749222754334e-05
1844,1.9547492227543347e-05
1845,1.954749222754334e-05
1846,1.9547492227543347e-05
1847,1.9547299545239305e-05
1848,1.9547299545239305e-05
1849,1.9547299545239305e-05
1850,1.954729954523931e-05
1851,1.954729954523931e-05
1852,1.954729954523931e-05
1853,1.9547299545239305e-05
1854,1.9547299545239305e-05
1855,1.954729954523931e-05
1856,1.9547299545239305e-05
1857,1.954729954523931e-05
1858,1.9546908186752543e-05
1859,1.9546908186752543e-05
1860,1.9546908186752543e-05
1861,1.954690818675254e-05
1862,1.954690818675254e-05
1863,1.9546908186752543e-05
1864,1.9546908186752543e-05
1865,1.9546908186752543e-05
1866,1.954690818675254e-05
1867,1.9546908186752543e-05
1868,1.9546908186752543e-05
1869,1.954690818675254e-05
1870,1.954676546381549e-05
1871,1.954676546381549e-05
1872,1.9546765463815487e-05
1873,1.954676546381549e-05
1874,1.954667555392255e-05
1875,1.954667555392255e-05
1876,1.954667555392255e-05
1877,1.954667555392255e-05
1878,1.954667555392255e-05
1879,1.954667555392255e-05
1880,1.954667555392255e-05
1881,1.954667555392255e-05
1882,1.954667555392255e-05
1883,1.954667555392255e-05
1884,1.954667555392255e-05
1885,1.954667555392255e-05
1886,1.954667555392255e-05
1887,1.954667555392255e-05
1888,1.954667555392255e-05
1889,1.954667555392255e-05
1890,1.954667555392255e-05
1891,1.9546675553922548e-05
1892,1.954667555392255e-05
1893,1.954667555392255e-05
1894,1.954667555392255e-05
1895,1.954667555392255e-05
1896,1.954667555392255e-05
1897,1.9546478946869017e-05
1898,1.9546478946869017e-05
1899,1.954647894686902e-05
1900,1.9546478946869017e-05
1901,1.954647894686902e-05
1902,1.954647894686902e-05
1903,1.954567929863241e-05
1904,1.954567929863241e-05
1905,1.9545679298632413e-05
1906,1.954567929863241e-05
1907,1.954567929863241e-05
1908,1.9545652285989413e-05
1909,1.954565228598941e-05
1910,1.9545168099737106e-05
1911,1.9545168099737106e-05
1912,1.9545168099737106e-05
1913,1.9545168099737106e-05
1914,1.9545168099737106e-05
1915,1.9545168099737106e-05
1916,1.9545168099737106e-05
1917,1.9545168099737106e-05
1918,1.9545168099737106e-05
1919,1.9545168099737106e-05
1920,1.954516809973711e-05
1921,1.9545168099737106e-05
1922,1.9545168099737106e-05
1923,1.9545168099737106e-05
1924,1.9545168099737106e-05
1925,1.9545168099737106e-05
1926,1.9545168099737106e-05
1927,1.9545168099737106e-05
1928,1.9545168099737106e-05
1929,1.9545168099737106e-05
1930,1.9545168099737106e-05
1931,1.9545168099737106e-05
1932,1.9545168099737106e-05
1933,1.9545168099737106e-05
1934,1.9544812982870465e-05
1935,1.954481298287046e-05
1936,1.954481298287046e-05
1937,1.954479566883606e-05
1938,1.9544795668836063e-05
1939,1.954479566883606e-05
1940,1.9544795668836063e-05
1941,1.9544795668836063e-05
1942,1.9544795668836063e-05
1943,1.954479566883606e-05
1944,1.954479566883606e-05
1945,1.954479566883606e-05
1946,1.954479566883606e-05
1947,1.954479566883606e-05
1948,1.954479566883606e-05
1949,1.9544795668836063e-05
1950,1.9544795668836063e-05
1951,1.9544795668836063e-05
1952,1.954479566883606e-05
1953,1.954479566883606e-05
1954,1.954479566883606e-05
1955,1.954479566883606e-05
1956,1.954479566883606e-05
1957,1.954479566883606e-05
1958,1.954479566883606e-05
1959,1.954479566883606e-05
1960,1.954479566883606e-05
1961,1.954479566883606e-05
1962,1.9544795668836063e-05
1963,1.9544744121181182e-05
1964,1.9544744121181182e-05
1965,1.9544744121181182e-05
1966,1.9544744121181182e-05
1967,1.9544744121181182e-05
1968,1.9544744121181182e-05
1969,1.9544744121181182e-05
1970,1.9544744121181182e-05
1971,1.9544744121181182e-05
1972,1.9544744121181182e-05
1973,1.9544744121181182e-05
1974,1.9544744121181182e-05
1975,1.9544744121181182e-05
1976,1.9544744121181182e-05
1977,1.9544744121181182e-05
1978,1.9544744121181182e-05
1979,1.9544744121181182e-05
1980,1.9544744121181182e-05
1981,1.9544744121181182e-05
1982,1.9544744121181182e-05
1983,1.9544744121181182e-05
1984,1.9544744121181182e-05
1985,1.9544563945970368e-05
1986,1.9544563945970368e-05
1987,1.954456394597037e-05
1988,1.9544563945970368e-05
1989,1.954456394597037e-05
1990,1.9544563945970368e-05
1991,1.9544563945970368e-05
1992,1.9544563945970368e-05
1993,1.9544517349038014e-05
1994,1.954451734903801e-05
1995,1.9544517349038014e-05
1996,1.9544517349038014e-05
1997,1.9544517349038014e-05
1998,1.9544517349038014e-05
1999,1.9544517349038014e-05
2000,1.9544517349038014e-05
2001,1.9544517349038017e-05
2002,1.954451734903801e-05
2003,1.9544517349038014e-05
2004,1.9544517349038014e-05
2005,1.9544517349038014e-05
2006,1.9544517349038014e-05
2007,1.954451734903801e-05
2008,1.9544517349038014e-05
2009,1.9544517349038014e-05
2010,1.9544517349038014e-05
2011,1.9544517349038014e-05
2012,1.9543778006850366e-05
2013,1.9543778006850366e-05
2014,1.9543778006850366e-05
2015,1.9543778006850366e-05
2016,1.9543778006850366e-05
2017,1.9543778006850366e-05
2018,1.9543778006850366e-05
2019,1.9543778006850366e-05
2020,1.9543778006850366e-05
2021,1.9543778006850366e-05
2022,1.9543778006850366e-05
2023,1.9543778006850366e-05
2024,1.9543778006850366e-05
2025,1.9543778006850366e-05
2026,1.9543778006850366e-05
2027,1.9543778006850366e-05
2028,1.9543778006850366e-05
2029,1.9543778006850366e-05
2030,1.9543778006850366e-05
2031,1.9543778006850366e-05
2032,1.9543778006850366e-05
2033,1.9543778006850366e-05
2034,1.9543778006850366e-05
2035,1.9543778006850366e-05
2036,1.9543778006850366e-05
2037,1.9543778006850366e-05
2038,1.9543697128579604e-05
2039,1.9543697128579604e-05
2040,1.9543697128579604e-05
2041,1.9543697128579604e-05
2042,1.9543697128579604e-05
2043,1.9543697128579604e-05
2044,1.9543697128579604e-05
2045,1.9543697128579604e-05
2046,1.9543697128579604e-05
2047,1.9543697128579604e-05
2048,1.9543697128579604e-05
2049,1.9543697128579604e-05
2050,1.9543697128579604e-05
2051,1.9543697128579604e-05
2052,1.9543697128579604e-05
2053,1.9543697128579604e-05
2054,1.9543697128579607e-05
2055,1.9543697128579604e-05
2056,1.9543297527665325e-05
2057,1.9543297527665325e-05
2058,1.9543297527665325e-05
2059,1.9543297527665325e-05
2060,1.9543297527665325e-05
2061,1.9543297527665325e-05
2062,1.9543297527665325e-05
2063,1.9543297527665325e-05
2064,1.9543297527665325e-05
2065,1.9542916587605335e-05
2066,1.954291658760534e-05
2067,1.954291658760534e-05
2068,1.9542916587605335e-05
2069,1.9542916587605335e-05
2070,1.9542916587605335e-05
2071,1.9542916587605335e-05
2072,1.9542916587605335e-05
2073,1.954291658760534e-05
2074,1.9542916587605335e-05
2075,1.954291658760534e-05
2076,1.954291658760534e-05
2077,1.9542916587605335e-05
2078,1.9542916587605332e-05
2079,1.9542916587605335e-05
2080,1.9542916587605335e-05
2081,1.954291658760534e-05
2082,1.9542916587605335e-05
2083,1.954291658760534e-05
2084,1.9542916587605335e-05
2085,1.954291658760534e-05
2086,1.9542916587605335e-05
2087,1.9542916587605335e-05
2088,1.9542916587605335e-05
2089,1.954291658760534e-05
2090,1.954291658760534e-05
2091,1.954291658760534e-05
2092,1.9542916587605335e-05
2093,1.954291658760534e-05
2094,1.9542916587605335e-05
2095,1.9542916587605335e-05
2096,1.954291658760534e-05
2097,1.954291658760534e-05
2098,1.954290308559729e-05
2099,1.9542903085597288e-05
2100,1.9542903085597288e-05
2101,1.9542903085597288e-05
2102,1.954290308559729e-05
2103,1.954290308559729e-05
2104,1.9542903085597288e-05
2105,1.954290308559729e-05
2106,1.954290308559729e-05
2107,1.954290308559729e-05
2108,1.954270311937099e-05
2109,1.954270311937099e-05
2110,1.954257649511087e-05
2111,1.954257649511087e-05
2112,1.9542576495110872e-05
2113,1.9542576495110872e-05
2114,1.9542576495110872e-05
2115,1.9542576495110872e-05
2116,1.9542576495110872e-05
2117,1.9542576495110872e-05
2118,1.9542576495110876e-05
2119,1.954257649511087e-05
2120,1.954257649511087e-05
2121,1.9542576495110872e-05
2122,1.9542576495110872e-05
2123,1.9542576495110872e-05
2124,1.9542576495110872e-05
2125,1.954257649511087e-05
2126,1.9542576495110872e-05
2127,1.9542576495110872e-05
2128,1.9542576495110865e-05
2129,1.9542576495110872e-05
2130,1.9542576495110865e-05
2131,1.9542576495110876e-05
2132,1.9542422112071327e-05
2133,1.9542422112071324e-05
2134,1.9542422112071324e-05
2135,1.9542421149735396e-05
2136,1.9542421149735393e-05
2137,1.9542421149735396e-05
2138,1.9541355601927453e-05
2139,1.9541355601927453e-05
2140,1.9541355601927453e-05
2141,1.9541355601927453e-05
2142,1.9541355601927456e-05
2143,1.9541220070092857e-05
2144,1.9541220070092854e-05
2145,1.9540655960624515e-05
2146,1.9540655960624515e-05
2147,1.954052559565955e-05
2148,1.954038391028914e-05
2149,1.9540383910289138e-05
2150,1.9540383910289138e-05
2151,1.954038391028914e-05
2152,1.9540383910289138e-05
2153,1.9540383910289138e-05
2154,1.954038391028914e-05
2155,1.954038391028914e-05
2156,1.9540383910289138e-05
2157,1.954038391028914e-05
2158,1.9540383910289138e-05
2159,1.9540383910289138e-05
2160,1.9540383910289138e-05
2161,1.954038391028914e-05
2162,1.9540383910289138e-05
2163,1.954030066727807e-05
2164,1.954030066727807e-05
2165,1.954030066727807e-05
2166,1.954030066727807e-05
2167,1.9539779728196174e-05
2168,1.9539779728196174e-05
2169,1.9539779728196174e-05
2170,1.9539779728196174e-05
2171,1.9539779728196174e-05
2172,1.9539779728196174e-05
2173,1.9539779728196174e-05
2174,1.9539779728196174e-05
2175,1.9539779728196174e-05
2176,1.9539779728196174e-05
2177,1.9539659924247827e-05
2178,1.9539659924247827e-05
2179,1.9539659924247827e-05
2180,1.9539659924247827e-05
2181,1.9539659924247827e-05
2182,1.9539651665993544e-05
2183,1.9539651665993544e-05
2184,1.9539651665993544e-05
2185,1.9539651665993544e-05
2186,1.9539651665993544e-05
2187,1.9539651665993544e-05
2188,1.9539651665993544e-05
2189,1.9539651665993544e-05
2190,1.9539349181722674e-05
2191,1.9539349181722677e-05
2192,1.9539349181722674e-05
2193,1.9539349181722674e-05
2194,1.9539349181722677e-05
2195,1.9539349181722677e-05
